Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2210.000000,2220.000000,2210.000000,2210.000000,1673.236328,5952500
2010-01-05,2280.000000,2290.000000,2220.000000,2280.000000,1726.234863,20
2010-01-06,2260.000000,2290.000000,2240.000000,2260.000000,1711.092651,20
2010-01-07,2220.000000,2260.000000,2210.000000,2220.000000,1680.807739,20
2010-01-08,2230.000000,2230.000000,2190.000000,2230.000000,1688.379150,20
2010-01-11,2250.000000,2280.000000,2220.000000,2250.000000,1703.521240,3245000
2010-01-12,2220.000000,2250.000000,2220.000000,2220.000000,1680.807739,20
2010-01-13,2210.000000,2260.000000,2200.000000,2210.000000,1673.236328,20
2010-01-14,2200.000000,2220.000000,2200.000000,2200.000000,1665.665283,20
2010-01-15,2200.000000,2240.000000,2200.000000,2200.000000,1665.665283,20
2010-01-18,2210.000000,2230.000000,2200.000000,2200.000000,1665.665283,1767500
2010-01-19,2260.000000,2260.000000,2210.000000,2260.000000,1711.092651,20
2010-01-20,2330.000000,2350.000000,2260.000000,2330.000000,1764.090576,20
2010-01-21,2310.000000,2330.000000,2260.000000,2310.000000,1748.949097,20
2010-01-22,2310.000000,2310.000000,2250.000000,2310.000000,1748.949097,20
2010-01-25,2290.000000,2310.000000,2240.000000,2290.000000,1733.806274,20
2010-01-26,2300.000000,2310.000000,2280.000000,2290.000000,1733.806274,5045000
2010-01-27,2290.000000,2310.000000,2260.000000,2290.000000,1733.806274,2645000
2010-01-28,2280.000000,2290.000000,2270.000000,2280.000000,1726.234863,20
2010-01-29,2260.000000,2270.000000,2200.000000,2260.000000,1711.092651,20
2010-02-01,2290.000000,2330.000000,2230.000000,2290.000000,1733.806274,20
2010-02-02,2290.000000,2300.000000,2270.000000,2290.000000,1733.806274,2862500
2010-02-03,2320.000000,2320.000000,2290.000000,2320.000000,1756.519897,20
2010-02-04,2280.000000,2320.000000,2280.000000,2280.000000,1726.234863,20
2010-02-05,2240.000000,2260.000000,2210.000000,2240.000000,1695.950195,6110000
2010-02-08,2160.000000,2240.000000,2110.000000,2160.000000,1635.380371,9917500
2010-02-09,2180.000000,2190.000000,2150.000000,2180.000000,1650.522827,9165000
2010-02-10,2170.000000,2230.000000,2170.000000,2170.000000,1642.951538,3857500
2010-02-11,2250.000000,2250.000000,2180.000000,2250.000000,1703.521240,3072500
2010-02-12,2280.000000,2280.000000,2220.000000,2280.000000,1726.234863,4147500
2010-02-15,2250.000000,2260.000000,2240.000000,2250.000000,1703.521240,247500
2010-02-16,2290.000000,2290.000000,2240.000000,2290.000000,1733.806274,1937500
2010-02-17,2280.000000,2320.000000,2240.000000,2280.000000,1726.234863,4657500
2010-02-18,2250.000000,2280.000000,2230.000000,2250.000000,1703.521240,1290000
2010-02-19,2260.000000,2270.000000,2230.000000,2260.000000,1711.092651,1455000
2010-02-22,2240.000000,2300.000000,2240.000000,2240.000000,1695.950195,3220000
2010-02-23,2280.000000,2340.000000,2260.000000,2280.000000,1726.234863,9117500
2010-02-24,2300.000000,2330.000000,2240.000000,2300.000000,1741.376953,2822500
2010-02-25,2300.000000,2330.000000,2250.000000,2300.000000,1741.376953,4110000
2010-03-01,2300.000000,2300.000000,2260.000000,2300.000000,1741.376953,4630000
2010-03-02,2320.000000,2340.000000,2280.000000,2320.000000,1756.519897,4540000
2010-03-03,2260.000000,2310.000000,2260.000000,2260.000000,1711.092651,7115000
2010-03-04,2280.000000,2310.000000,2270.000000,2280.000000,1726.234863,3787500
2010-03-05,2280.000000,2330.000000,2280.000000,2280.000000,1726.234863,4572500
2010-03-08,2340.000000,2350.000000,2310.000000,2340.000000,1771.662231,3405000
2010-03-09,2380.000000,2380.000000,2340.000000,2380.000000,1801.947144,5172500
2010-03-10,2520.000000,2590.000000,2380.000000,2520.000000,1907.943604,19297500
2010-03-11,2400.000000,2640.000000,2400.000000,2400.000000,1817.089111,14675000
2010-03-12,2420.000000,2490.000000,2420.000000,2420.000000,1832.231934,5815000
2010-03-15,2400.000000,2510.000000,2400.000000,2400.000000,1817.089111,9675000
2010-03-17,2420.000000,2460.000000,2410.000000,2420.000000,1832.231934,14027500
2010-03-18,2390.000000,2480.000000,2390.000000,2390.000000,1809.518188,7440000
2010-03-19,2440.000000,2500.000000,2390.000000,2440.000000,1847.374268,8760000
2010-03-22,2400.000000,2450.000000,2400.000000,2400.000000,1817.089111,10492500
2010-03-23,2410.000000,2450.000000,2400.000000,2410.000000,1824.660278,6695000
2010-03-24,2450.000000,2450.000000,2440.000000,2450.000000,1854.945923,3985000
2010-03-25,2490.000000,2500.000000,2450.000000,2490.000000,1885.230103,7367500
2010-03-26,2460.000000,2510.000000,2450.000000,2460.000000,1862.516724,2530000
2010-03-29,2430.000000,2460.000000,2410.000000,2430.000000,1839.802979,7105000
2010-03-30,2460.000000,2480.000000,2420.000000,2460.000000,1862.516724,4845000
2010-03-31,2430.000000,2460.000000,2410.000000,2430.000000,1839.802979,9830000
2010-04-01,2430.000000,2450.000000,2400.000000,2430.000000,1839.802979,13675000
2010-04-05,2450.000000,2450.000000,2410.000000,2450.000000,1854.945923,6495000
2010-04-06,2460.000000,2490.000000,2450.000000,2460.000000,1862.516724,8207500
2010-04-07,2510.000000,2530.000000,2460.000000,2510.000000,1900.372803,11447500
2010-04-08,2480.000000,2500.000000,2450.000000,2480.000000,1877.658936,3822500
2010-04-09,2450.000000,2510.000000,2430.000000,2450.000000,1854.945923,5187500
2010-04-12,2440.000000,2470.000000,2430.000000,2440.000000,1847.374268,4027500
2010-04-13,2500.000000,2500.000000,2480.000000,2500.000000,1892.801636,7125000
2010-04-14,2460.000000,2510.000000,2450.000000,2460.000000,1862.516724,2947500
2010-04-15,2520.000000,2520.000000,2480.000000,2520.000000,1907.943604,7490000
2010-04-16,2520.000000,2520.000000,2480.000000,2520.000000,1907.943604,4787500
2010-04-19,2520.000000,2520.000000,2460.000000,2520.000000,1907.943604,3170000
2010-04-20,2540.000000,2550.000000,2520.000000,2540.000000,1923.085815,1445000
2010-04-21,2560.000000,2560.000000,2510.000000,2560.000000,1938.228516,3617500
2010-04-22,2540.000000,2550.000000,2510.000000,2540.000000,1923.085815,2357500
2010-04-23,2610.000000,2650.000000,2530.000000,2610.000000,1976.084595,5187500
2010-04-26,2700.000000,2700.000000,2630.000000,2700.000000,2044.225708,3725000
2010-04-27,2720.000000,2730.000000,2630.000000,2720.000000,2059.367676,9450000
2010-04-28,2760.000000,2780.000000,2670.000000,2760.000000,2089.652344,8015000
2010-04-29,2770.000000,2780.000000,2740.000000,2770.000000,2097.224365,4477500
2010-04-30,2770.000000,2800.000000,2770.000000,2770.000000,2097.224365,3557500
2010-05-03,2890.000000,2940.000000,2780.000000,2890.000000,2188.078369,7712500
2010-05-04,3160.000000,3310.000000,2900.000000,3160.000000,2392.500488,11687500
2010-05-05,3240.000000,3260.000000,3090.000000,3240.000000,2453.070557,10657500
2010-05-06,2980.000000,3240.000000,2970.000000,2980.000000,2256.219238,10005000
2010-05-07,2980.000000,3080.000000,2880.000000,2980.000000,2256.219238,12050000
2010-05-10,2980.000000,2980.000000,2980.000000,2980.000000,2256.219238,0
2010-05-11,2920.000000,3110.000000,2920.000000,2920.000000,2210.791748,9295000
2010-05-12,3020.000000,3110.000000,2890.000000,3020.000000,2286.504395,7412500
2010-05-14,3100.000000,3140.000000,3050.000000,3100.000000,2347.073486,7682500
2010-05-17,3060.000000,3080.000000,3020.000000,3060.000000,2316.788818,9960000
2010-05-18,3040.000000,3060.000000,3040.000000,3040.000000,2301.647461,4192500
2010-05-19,2970.000000,3050.000000,2970.000000,2970.000000,2248.647949,6302500
2010-05-20,2850.000000,3040.000000,2800.000000,2850.000000,2157.793213,9552500
2010-05-21,2830.000000,2850.000000,2720.000000,2830.000000,2142.651123,10657500
2010-05-24,2940.000000,2940.000000,2820.000000,2940.000000,2225.934814,6080000
2010-05-25,2900.000000,2940.000000,2870.000000,2900.000000,2195.649658,9485000
2010-05-26,3160.000000,3160.000000,2880.000000,3160.000000,2392.500488,19512500
2010-05-27,3030.000000,3100.000000,2960.000000,3030.000000,2294.074707,10010000
2010-05-31,3120.000000,3200.000000,3090.000000,3120.000000,2362.216064,13117500
2010-06-01,3000.000000,3140.000000,3000.000000,3000.000000,2271.361328,3850000
2010-06-02,3090.000000,3130.000000,3020.000000,3090.000000,2339.502686,7927500
2010-06-03,3210.000000,3220.000000,3150.000000,3210.000000,2430.357178,13435000
2010-06-04,3250.000000,3270.000000,3210.000000,3250.000000,2460.642090,5780000
2010-06-07,3240.000000,3240.000000,3070.000000,3240.000000,2453.070557,12507500
2010-06-08,3280.000000,3320.000000,3270.000000,3280.000000,2483.355469,22137500
2010-06-09,3220.000000,3300.000000,3180.000000,3220.000000,2437.927979,7400000
2010-06-10,3240.000000,3280.000000,3220.000000,3240.000000,2453.070557,3547500
2010-06-11,3220.000000,3300.000000,3220.000000,3220.000000,2437.927979,4187500
2010-06-14,3160.000000,3230.000000,3140.000000,3160.000000,2392.500488,9932500
2010-06-15,3120.000000,3210.000000,3110.000000,3120.000000,2362.216064,8682500
2010-06-16,3170.000000,3210.000000,3160.000000,3170.000000,2400.072021,4862500
2010-06-17,3290.000000,3290.000000,3180.000000,3290.000000,2490.926514,9625000
2010-06-18,3360.000000,3480.000000,3290.000000,3360.000000,2543.925049,9757500
